wallet_address,total_amount_eth_borrows,total_amount_eth_deposits,total_amount_eth_repays,total_amount_eth_withdraws,avg_amount_eth_borrows,avg_amount_eth_deposits,avg_amount_eth_repays,avg_amount_eth_withdraws,tx_count_borrows,tx_count_deposits,tx_count_repays,tx_count_withdraws,active_days,borrow_to_deposit_ratio,repay_to_borrow_ratio,tx_total
0x00ba434edeccf437b6ccd423ce61391697fc0093,0.0,516.6738300000563,0.0,0.0,0.0,258.33691500002817,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,,2.0
0x00c92eb397fc58747d3327a5c71ee7712fadb6a6,0.2586412723214084,0.0,0.0,0.0,0.021553439360117364,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1,inf,0.0,12.0
0x00c9cf6d9479fc3abec435346d8d3330661944ee,0.0,0.0,0.0,1725.8992402567499,0.0,0.0,0.0,1725.8992402567499,0.0,0.0,0.0,1.0,1,,,1.0
0x00ca89aacfcf2c52136935b852af1668169f5035,0.0,29069.97975796122,0.0,0.0,0.0,14534.98987898061,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,,2.0
0x00cabd694cb935ea5bda953be560253934916043,0.0,19.86821739,0.0,0.0,0.0,19.86821739,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x00d3616e6ceb7e33605e12530f2d58dc806372ec,150.45816018400774,0.0,150.45270565924835,0.0,50.15272006133591,0.0,50.150901886416115,0.0,3.0,0.0,3.0,0.0,1,inf,0.9999637472321028,6.0
0x00d6eddba006378cb3d7a635d180666dda30442e,0.0,41.290718,0.0,40.65405701949408,0.0,20.645359,0.0,40.65405701949408,0.0,2.0,0.0,1.0,1,0.0,,3.0
0x00d9d60bb8ce1fcf3ff3ef6a1ee405168b69ac17,0.0,56.0692206,0.0,0.0,0.0,56.0692206,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x00e36307236118b7d5ff9e1fa3a2506fd5257b8a,0.0,0.0,1121.4686143030087,0.0,0.0,0.0,11.681964732323008,0.0,0.0,0.0,96.0,0.0,1,,inf,96.0
0x00e646a94433363eabf3d2ed85c92543161d73a6,0.0,112.57778430314738,0.0,0.0,0.0,112.57778430314738,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x00e9dc3f85bcb907ca254c90765b57dd500494b8,0.0,4.08,0.0,4.080001664789193,0.0,4.08,0.0,4.080001664789193,0.0,1.0,0.0,1.0,1,0.0,,2.0
0x00ee6c6b23a2451c4ad4ea9e7ad25182ff010df1,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x00efe838a629339d98f565956e055b64724840ad,0.0,9638.6111,0.0,3000.0,0.0,9638.6111,0.0,3000.0,0.0,1.0,0.0,1.0,1,0.0,,2.0
0x00f25b1c2410cedf130cc622618ba8d03c24de3e,0.0,75.0,0.0,75.04674014817513,0.0,75.0,0.0,75.04674014817513,0.0,1.0,0.0,1.0,1,0.0,,2.0
0x00f57b489bcc01e8526a645ac5880f40638a1e9a,11.92655849991126,1.9891177e-11,11.92655849991126,1.9734596e-11,11.92655849991126,1.9891177e-11,11.92655849991126,6.578198666666666e-12,1.0,1.0,1.0,3.0,1,599590386225.5743,1.0,6.0
0x00f983b0b1c68d006a5c273bacec554dcf2c1431,0.0,1e-11,0.0,1.000038e-11,0.0,1e-11,0.0,1.000038e-11,0.0,1.0,0.0,1.0,1,0.0,,2.0
0x00fa8efa590cf81bc7a3e2ae5cd11a6cb5d892d1,0.9864566643079599,0.005592006908917984,0.0,0.0,0.9864566643079599,0.005592006908917984,0.0,0.0,1.0,1.0,0.0,0.0,1,176.40476493953986,0.0,2.0
0x00fe460a15b49d09f39b057d0f1a7b9444f4f2be,0.0,1189.4557848052866,0.0,1655.9540292463116,0.0,99.12131540044055,0.0,150.54127538602833,0.0,12.0,0.0,11.0,1,0.0,,23.0
0x00fec3bea022c67e1cd328fc2356d374ed297a4f,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,inf,0.0,1.0
0x0100a8b39f25a7754b2a6a580c2c35fd122aa0b4,0.014743922711334664,0.0,0.0,0.0,0.007371961355667332,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,inf,0.0,2.0
0x0107bb6e95c2627e7413da1830cdb471df37d619,0.0,9.92918012,0.0,9.92918706180364,0.0,9.92918012,0.0,9.92918706180364,0.0,1.0,0.0,1.0,1,0.0,,2.0
0x010a6c8a8437027a667af7fae3ab528d0e633ec0,0.1,0.0,0.0,34.49057674143382,0.1,0.0,0.0,11.496858913811273,1.0,0.0,0.0,3.0,1,inf,0.0,4.0
0x010afb8548a5d1a3a3d62f58ca0a5a1329974206,521.1,75.10485789808638,525.3152420926012,3788.5370289053,173.70000000000002,37.55242894904319,65.66440526157515,473.5671286131625,3.0,2.0,8.0,8.0,1,6.93829952660462,1.0080891231867228,21.0
0x010c358ad2169cf74071556bb86859bfa035d179,0.0,0.0,0.0,1550.0,0.0,0.0,0.0,775.0,0.0,0.0,0.0,2.0,1,,,2.0
0x010da4d7a9aca668086340ce00ffb55a3ee24b32,0.0,0.0,0.0,0.0600000304532397,0.0,0.0,0.0,0.0600000304532397,0.0,0.0,0.0,1.0,1,,,1.0
0x011492e973e8825076420efaef19d8f242c7e2d7,0.0,3.316727e-08,0.0,68710.19718047886,0.0,3.316727e-08,0.0,34355.09859023943,0.0,1.0,0.0,2.0,1,0.0,,3.0
0x011689954bab19dbee2f35641513314ba6fcf52a,0.0,12.156164203727476,0.0,0.0,0.0,12.156164203727476,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x0118289457e9fd02c05e37e27a11bd09d3500021,582090.0000011731,68143.66432015788,586335.7964452822,68201.20870487345,26458.636363689686,6194.878574559808,19544.526548176073,5683.4340587394545,22.0,11.0,30.0,12.0,1,8.542100073549793,1.0072940549470022,75.0
0x011c5653a7ef1ea218d5adca8ef4677fb465ccc3,3.1444639811626027,0.0,0.0,0.0,1.5722319905813014,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,inf,0.0,2.0
0x011e55090d61a22ab5541afb12517d124a555db5,0.0,0.0,0.0,2.765003280006543,0.0,0.0,0.0,0.6912508200016357,0.0,0.0,0.0,4.0,1,,,4.0
0x012155a33e8e6b9b5e24602ae69b4fb673eba698,0.0,400.88418115304387,0.0,400.96573459173715,0.0,133.62806038434795,0.0,200.48286729586857,0.0,3.0,0.0,2.0,1,0.0,,5.0
0x012a23725c8cd1cf5fd038d0d37880a5925dad81,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x012c5450b22a626a810d376d5519878a914c3f2b,0.2,320.0,0.20027927309321678,0.0,0.2,160.0,0.20027927309321678,0.0,1.0,2.0,1.0,0.0,1,0.000625,1.0013963654660838,4.0
0x0138e385f1504e8c6c458ff29f148d6184fd60de,0.0,19.99577091,0.0,0.0,0.0,19.99577091,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x013e23b1e33ed1f81b18ed060fd49ba5ff346659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,,,1.0
0x0145a7e9c8a1f11b86d83dd428dfc61f2a32966b,23.677162085409837,0.0,0.0,0.0,23.677162085409837,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,inf,0.0,1.0
0x0147d58ac5006af18aedecd42f56f354f739ecc4,10.0000000016,0.0,0.0,0.0,5.0000000008,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,inf,0.0,2.0
0x01489713a676911d5f8937e8cf822c2207990534,0.0,5899.601592041985,0.0,7594.61750149455,0.0,1179.920318408397,0.0,2531.53916716485,0.0,5.0,0.0,3.0,1,0.0,,8.0
0x014a5452bfb1b711f4c8c7cca2c0a37549fa3d33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,,,1.0
0x014d808541240a693b48819a600b401cf6b3b8b7,0.0,363.3779839794706,0.0,904.2760457974925,0.0,60.562997329911774,0.0,180.85520915949851,0.0,6.0,0.0,5.0,1,0.0,,11.0
0x01531b74921065e6252b0d02f4ab453135096b66,0.0,0.0,0.0,73.02093087426887,0.0,0.0,0.0,36.510465437134435,0.0,0.0,0.0,2.0,1,,,2.0
0x0161d1cc10116bb2a073a0c293d5e4f1a97a00b6,0.0,1940.0,0.0,0.0,0.0,1940.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,,1.0
0x016cf1f96a72a31158421bf583e241933980be08,0.0,720.682493460949,0.0,724.9082790555536,0.0,360.3412467304745,0.0,724.9082790555536,0.0,2.0,0.0,1.0,1,0.0,,3.0
